Country,CC,CF,GDP,RE,CHE,CHE_GDP,CO2 ,CO2m,IMD,IMH,IMM,P,F,Handwash,Sanitation ,Water,U,Tobacco,Tobacco_fem,Tobacco_m,PM,EAB,EAS,EAP,EAL,Mortality,Deaths,OAP,OAPc,Population,Population_m,Population_f
Central African Republic,CAF,0.800000000000001,426.408752988942,91.26,34.23019409,7.82838726,235.4,0.0451882048419334,42,42,41,..,6.008,20.9638788703953,14.4819824288711,38.2122671248287,49.2,..,..,..,46.3767539,1.05831003189087,3.26021003723145,19.3335609436035,7.25777006149292,105.9,22396,60.87836075,20.83878097,5209324,2605852,2603472
Chad,TCD,6.6,701.621200811434,72.78,30.53188515,4.47938061,1583.6,0.0981963885605548,50,50,41,0.0539,6.412,24.4317139521309,12.2940188961564,50.4980643454126,31.7,8.5,2.8,14.2,59.2825236,0.629499971866608,1.84052002429962,10.0752696990967,3.70809006690979,114.3,77923,62.62454605,19.12045365,16126866,8094822,8032044
Channel Islands,CHI,..,61281.3272247009,..,..,..,..,..,..,..,..,..,1.441,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,169410,83603,85807
Chile,CHL,100,14627.14501648,25.27,1369.48400879,9.33272266,91915.4,4.82762007480769,96,96,95,2.6614,1.545,..,100,100,2.6,29.9,27.5,32.3,22.76585719,..,..,..,..,7.1,1599,32.80002975,449.19116365,19039485,9450404,9589082
China,CHN,79.4,10143.8602060373,14.33,539.6194458,5.3502779,10762824,7.64543578560038,99,99,99,2.2266,1.496,97.1092429077146,91.2881365395444,95.3173719016687,2.5,25.7,1.7,49.7,47.67263439,..,..,..,..,8,125692,35.23001862,190.1080505,1407745000,719565010,688179990
Colombia,COL,92.1,6436.50921529531,31.5,522.54925537,8.1165638,79186.7,1.57782014077396,94,92,95,2.2522,1.765,69.724608105128,92.151091537794,96.8925246726353,7.2,8.8,4.7,12.8,22.01072747,12.6854696273804,52.4799995422363,80.5699996948242,57.1599998474121,13.7,10009,14.12572575,73.81387538,50187406,24779301,25408106
Comoros,COM,9.60000000000001,1510.7973226286,53,77.80075073,5.18044472,326.2,0.412396679587249,91,91,90,..,4.125,..,35.9066757549833,80.2105014769868,..,20.8,11.7,29.9,17.15567571,..,..,..,..,53.1,1264,61.82796478,48.10261995,790986,397126,393860
"Congo, Dem. Rep.",COD,4.2,575.882781272568,96.29,19.85771751,3.54229975,3031.2,0.0337148799163223,73,73,65,..,6.253,19.084077439722,16.4166624601584,35.678057309253,37.7,13,3.1,22.9,35.86088793,..,..,..,..,84.4,312418,38.49700546,7.64462581,89906890,44600412,45306478
"Congo, Rep.",COG,32.2,2288.80808614703,69.97,58.90272522,2.56553078,7006.1,1.25766214248646,79,79,73,..,4.296,48.1857799471856,20.3642631107744,73.5958698078761,29.9,14.3,2.2,26.4,39.30341272,..,..,..,..,52.4,9202,42.17203903,24.84047787,5570733,2781753,2788979
Costa Rica,CRI,95.4,12669.3411617396,33.42,914.88470459,7.2212491,7956.4,1.56482445188662,95,97,95,..,1.632,85.6755177729412,97.8532216953258,99.7975293659545,3.4,9.1,4.8,13.4,17.42174135,..,39.189998626709,82.8099975585938,48.0999984741211,8.2,550,22.32456398,204.24403784,5084532,2546376,2538156
Cote d'Ivoire,CIV,28.7,2290.78737894782,62.41,73.64801652,3.28960407,10838.9,0.414528305155615,81,81,73,0.1623,4.538,20.9474827178564,34.7779674572536,72.541058171011,4.7,9.7,0.9,18.5,55.62337378,..,..,..,..,79.7,70460,37.26046365,27.44159242,26147551,13218128,12929424
Croatia,HRV,100,15086.2117396215,31.6,1040.08569336,6.81108999,16523.3,4.06451947763153,94,93,93,3.4651,1.47,..,96.1508301589796,..,2.5,36.7,35.6,37.8,18.46495986,..,..,..,..,4.7,175,11.4647665,119.24338834,4065253,1976146,2089106
Cuba,CUB,94,9139.41585605765,23.14,1013.10137939,11.08496857,24418.5,2.15774090266798,99,99,99,..,1.551,91.0320047553137,90.6561903272549,94.1484823370466,2.5,18.7,10.9,26.4,17.72659724,17.52419090271,55.8309898376465,91.3904571533203,78.6480712890625,5.2,599,10.85016251,109.92314316,11316697,5628282,5688414
Curacao,CUW,..,19024.1771511889,2.48,..,..,..,..,..,..,..,..,1.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,157441,76024,81416
Cyprus,CYP,100,29417.921875,11.97,2043.67858887,6.94943047,7191,5.85187933947248,96,94,86,3.1437,1.332,..,99.3958159908827,99.7651923631792,2.5,35.5,23.2,47.7,15.57380293,..,..,..,..,2.8,37,32.12443161,656.52014389,1228836,615637,613199
Czechia,CZE,100,23664.8478631108,15.88,1803.05273438,7.60487127,97712.9,9.15611790623386,97,97,92,4.0601,1.71,..,99.1371345347108,99.8804688935076,2.5,30.9,26.5,35.2,16.75140093,20.9466800689697,87.3603668212891,99.8790512084961,99.8369369506836,3,335,14.09247494,254.09473064,10671870,5255756,5416114
Denmark,DNK,100,59592.9806886454,37.29,6058.83007813,10.12139606,29696.5,5.10738642637222,97,..,96,..,1.7,..,99.5972319033954,100,2.5,18.1,17.8,18.4,9.785959755,..,..,..,..,3.8,228,13.79444122,835.78178055,5814422,2890926,2923497
Djibouti,DJI,9.20000000000001,2876.04366371536,26.99,62.30675125,2.01711535,428.27,0.398763866464803,85,85,83,..,2.891,..,66.638239753157,75.9957463626693,13.1,..,..,..,43.16577438,..,..,..,..,57.9,1397,31.23415756,19.46098893,1073994,533626,540367
Dominica,DMA,89.6,8561.58701121461,7.91,442.51159668,5.13174009,174.1,2.43741949935599,99,99,92,..,1.611,..,..,..,6.5,..,..,..,18.60844325,..,..,..,..,35.2,33,33.85964203,149.83284494,71428,35673,35755
Dominican Republic,DOM,90.9,8173.34464573914,14.89,346.50790405,4.23948717,25775.2,2.36863439614581,89,87,96,1.4518,2.344,49.4131682229902,87.2031083799599,96.1401141515674,7,10.9,6.8,15,17.72938154,17.5502490997314,45.4900016784668,73.9599990844727,66,34.3,7250,27.94108391,96.81806168,10881882,5472410,5409472
Ecuador,ECU,94.5,6233.25816692363,17.73,487.33145142,7.81824636,39631.4,2.28505501120289,85,85,83,..,2.088,87.1506423235772,90.0032406646583,95.0112246263964,13.7,11.6,4.3,18.9,19.97447395,..,42.6100006103516,81.5699996948242,51.8899993896484,13.4,4014,30.87841606,150.48022657,17343740,8672767,8670974
"Egypt, Arab Rep.",EGY,99.9,3017.25833578941,6.23,145.3107605,4.83619261,217908.3,2.06316078338081,95,95,95,0.7463,3.001,89.8282405087092,97.2005582635653,98.7614152226307,5,24.4,0.4,48.3,67.88817813,..,..,..,..,20.3,51294,62.50626373,90.8283265,105618671,53429404,52189268
