Country,CC,CF,GDP,RE,CHE,CHE_GDP,CO2 ,CO2m,IMD,IMH,IMM,P,F,Handwash,Sanitation ,Water,U,Tobacco,Tobacco_fem,Tobacco_m,PM,EAB,EAS,EAP,EAL,Mortality,Deaths,OAP,OAPc,Population,Population_m,Population_f
Kosovo,XKX,..,4416.03132183173,..,..,..,..,..,..,..,..,..,1.546,..,..,..,..,..,..,..,..,..,..,..,..,11.2,228,..,..,1788878,892156,896722
Kuwait,KWT,100,30666.2206640015,0.06,1643.56970215,5.35958719,93863.6,21.1352142487222,92,92,97,..,2.159,..,100,100,2.5,17.9,2.3,33.5,60.96648013,..,..,..,..,8.8,501,10.7205658,176.19997404,4441100,2738222,1702878
Kyrgyz Republic,KGZ,77.8,1374.03113638998,28.31,63.05092621,4.49454117,10017.4,1.55159381679626,95,95,96,..,3.3,98.2842647450298,97.7777140188615,89.8588080901834,5.2,27.6,3.3,51.8,24.07288994,..,..,..,..,18.3,3067,46.181427,29.11781778,6456200,3170125,3286075
Lao PDR,LAO,7.9,2598.50552320723,48.72,67.81835938,2.60029101,19170.9,2.65817514097581,80,80,83,..,2.571,55.4509079969042,78.948092429375,85.099831820973,5.4,32.5,10.9,54.1,20.54733513,..,..,..,..,45.8,7516,41.83228683,28.36996937,7212053,3636206,3575847
Latvia,LVA,100,17945.2222164981,41.48,1183.1151123,6.62088203,7569.1,3.95496550880907,99,99,99,3.2795,1.61,..,92.4131252688765,98.7382545669579,2.5,37.2,23.8,50.6,12.01165835,37.139778137207,92.9110794067383,100,..,4,77,35.22696686,416.77559009,1913822,883240,1030582
Lebanon,LBN,..,8925.42186018651,5.13,731.67156982,7.89909458,26916.5,4.65529798386588,83,80,82,2.2071,2.13,..,99.0673793809694,92.6,9,38.4,29.2,47.6,28.96029994,..,..,..,..,8.7,846,36.26387024,265.33242675,5781907,2814124,2967783
Lesotho,LSO,39.6,1094.49943775496,39.47,120.54795837,11.40502262,2300.1,1.03342675704115,87,87,90,..,3.094,5.4802286979334,48.4279247089124,72.8773752061875,31.2,24.4,5.7,43.1,27.52281327,..,..,..,..,77.2,4588,14.02660656,16.9087866,2225702,1097956,1127746
Liberia,LBR,0.4,665.878447568436,89.71,52.09077454,8.4314146,1146.2,0.229916460209228,70,70,68,..,4.257,2.6479285376764,20.7619736101479,74.1609602963714,39.2,8.4,2.1,14.7,50.59973692,..,..,..,..,80.6,12791,54.36148071,28.31731741,4985289,2479442,2505847
Libya,LBY,..,10542.4290203358,3,..,..,54692.7,8.32576759513649,73,73,73,..,2.539,..,92.1060022089555,99.8915237987819,..,..,..,..,38.59119845,..,..,..,..,11.5,1432,..,..,6569088,3329012,3240076
Liechtenstein,LIE,..,167259.160311816,56.13,..,..,149.025716,3.8726083883374,..,..,..,..,1.48,..,99.95,100,..,..,..,..,..,..,..,..,..,..,..,..,..,38482,19102,19381
Lithuania,LTU,100,19598.4008704357,33.54,1369.97949219,6.99864721,11735.8,4.20015196105273,92,92,93,4.6268,1.61,..,93.7683252267195,98.0014728864191,2.5,32.3,21.8,42.8,10.37350411,..,..,..,..,3.8,109,32.27022552,442.09547157,2794137,1306199,1487938
Luxembourg,LUX,100,112621.821337402,16.45,6221.73876953,5.44119692,9500.3,15.3230398015487,99,96,99,..,1.34,..,97.5942628469242,99.8767046171651,2.5,21.6,20.1,23,10.06890585,..,..,..,..,2.8,17,9.62097168,598.59172365,620001,311845,308156
"Macao SAR, China",MAC,..,83183.4723863046,8.43,..,..,..,..,..,..,..,..,1.077,..,100,100,4.6,..,..,..,..,..,..,..,..,..,..,..,..,663653,312356,351296
Madagascar,MDG,1.2,512.279665582666,82.52,19.35046577,3.77732444,3927.7,0.142653575143316,68,68,55,..,3.978,23.5493314888199,13.1693371507898,51.1722061354795,47.4,28.4,13.5,43.3,17.8593854,..,..,..,..,66.1,56281,32.26590347,6.24360273,27533134,13804538,13728596
Malawi,MWI,1.8,584.362867276266,72.1,30.01859474,5.13698387,1643.7,0.0871188127927116,95,95,92,..,4.072,15.2954169382637,42.8038378125311,69.4648756261317,17.6,11.3,4.3,18.2,22.34665143,..,..,..,..,45.6,28268,16.86334229,5.06213825,18867337,9168342,9698995
Malaysia,MYS,94.9,11132.1034532052,5.59,427.46286011,3.83884454,244882,7.46499971649816,98,97,97,2.1154,1.834,..,95.8802336493616,97.0903674239334,2.6,22.8,1.2,44.3,16.59099631,13.4419298171997,62.9572906494141,92.5739517211914,75.0393829345703,7.9,4058,36.0626564,154.15446906,32804020,16794024,16009996
Maldives,MDV,99.3,11118.5262346524,1.11,851.50939941,7.66067553,1999.5,3.96326718307737,98,98,99,2.0527,1.736,95.8209195359725,98.2684279207159,99.5272078072488,..,25.9,6.4,45.3,10.94405416,..,..,..,..,7,52,17.46362114,148.70437282,504508,291624,212884
Mali,MLI,0.900000000000001,840.175746132551,66.91,32.61206436,3.88156676,3937.4,0.191438655613848,77,77,70,..,6.103,16.8865958673107,44.7976967244774,79.2797151051117,5.6,8.6,1.1,16.1,60.62414043,1.51215994358063,4.24314022064209,12.9533596038818,7.70513010025024,103.1,86719,30.97203636,10.10062056,20567424,10387581,10179843
Malta,MLT,100,31506.5568445964,7.4,2943.63134766,9.23917389,1658.6,3.29046823605033,98,98,96,..,1.14,..,99.9644988230789,100,2.5,24.5,21.8,27.1,12.9910498,..,..,..,..,6.1,27,34.13112259,1004.69440436,504062,259854,244207
Marshall Islands,MHL,66.1,5188.97111429082,12.08,782.23565674,14.82552052,152.3,3.40502593453765,79,82,85,..,2.824,85.0449834720462,81.3284518768247,85.7156629279255,..,28.4,8.3,48.5,9.044039796,..,..,..,..,31.8,32,1.10943425,8.67839029,44728,22874,21855
Mauritania,MRT,47.2,1839.96277798478,24.98,60.2051506,3.34527016,3824.8,0.872475306517173,80,80,75,..,4.521,45.9132694564613,49.5893944954558,72.5443131435372,9.2,11.1,2.2,19.9,66.8117824,..,..,..,..,43.2,6261,45.2381897,27.23571836,4383849,2145130,2238719
Mauritius,MUS,98.8,11403.2528942201,8.94,671.86047363,6.200562,4173.7,3.296800515014,96,97,99,2.5912,1.4,..,..,99.9621987210459,7.2,20.5,3.1,37.9,14.91383169,..,..,..,..,15.9,212,45.72070313,307.17933433,1265985,625555,640430
Mexico,MEX,84.6,10145.1526279593,10.27,552.70422363,5.44627905,451828.8,3.6121651406375,82,56,73,2.4253,1.916,92.845159353106,90.7765580654672,99.1153530172831,6,13.4,6.4,20.4,20.12401203,..,..,..,..,14.2,28548,42.28219223,233.69546815,125085311,61187228,63898082
"Micronesia, Fed. Sts.",FSM,13.1,3699.08151446862,1.98,420.57949829,11.2604599,148.2,1.33059194282585,78,84,78,..,2.801,..,90.4539007167041,90.1142911078532,..,..,..,..,10.38285056,..,..,..,..,26.4,62,2.61459732,10.99646054,111379,56072,55307
Moldova,MDA,97.2,4404.95042249597,22.04,284.30636597,6.36946964,8921.6,3.34866737931946,91,94,97,2.5586,1.78,..,82.9898264033017,90.6956869576304,..,28.7,6.2,51.2,13.74739724,22.2035808563232,73.5008773803711,99.3357620239258,96.1118087768555,14.7,620,35.69294357,101.47730019,2664224,1266405,1397819
Monaco,MCO,100,199382.781206882,..,3055.43920898,1.53244889,..,..,99,99,88,..,..,..,100,100,..,..,..,..,11.66888949,..,..,..,..,3.1,1,7.90802622,241.62494191,37034,18145,18890
Mongolia,MNG,49.9,4394.94715010112,3.32,182.86535645,4.16080856,23146.9,7.16083565614723,98,98,98,..,2.937,84.3534834834619,67.7923396064621,81.4356125956715,4,29.6,7.2,52,38.05757134,..,..,..,..,16,1206,30.96385384,56.62216557,3232430,1606094,1626335
Montenegro,MNE,62,8909.65333601178,38.74,732.34954834,8.32983208,2601.1,4.18164455619361,85,62,33,2.7197,1.77,..,97.5022993595498,98.6814038394913,2.5,31.8,31.3,32.3,21.25685256,..,..,..,..,2.7,20,38.55628967,282.36681476,622028,303303,318725
Morocco,MAR,98.2,3498.58251953125,10.57,177.24794006,5.36818361,70986.3,1.95530801659126,99,99,99,..,2.382,..,86.3282340120945,84.9818507597581,4.4,14.9,0.9,28.8,35.05284088,..,..,..,..,19.5,13127,46.10972214,81.7285313,36304408,18281786,18022621
Mozambique,MOZ,4.9,508.163403756662,78.34,40.41281128,7.95271826,7530.2,0.248639658557146,88,88,87,0.0846,4.783,..,33.350311214661,57.5753680766886,31.8,14.8,5.9,23.7,20.77406654,..,..,..,..,73.5,80655,9.52183533,3.84804143,30285595,14851787,15433808
Myanmar,MMR,35.2,1295.20148745222,58.89,61.15328217,4.67856407,33995,0.640928810767197,90,90,84,0.7369,2.2,74.4719549274603,73.1653187541976,78.9093353384479,2.5,45.1,20.8,69.4,29.43314277,10.5910997390747,21.8565692901611,59.7655715942383,38.507568359375,44.8,41910,75.95468903,46.44878506,53040212,26423311,26616900
Namibia,NAM,46.5,5126.17614281673,30.23,431.81781006,8.45436001,4316.3,1.76417165717612,87,87,80,..,3.404,..,34.9607746948101,84.8394848926625,18.9,15.5,6.3,24.6,24.19978552,..,..,..,..,41.9,2908,7.93390608,34.26001747,2446644,1181378,1265266
Nauru,NRU,100,10316.5250416633,0.62,1158.77087402,12.18192387,53.4,4.40158259149357,96,96,95,..,3.618,..,65.9320445778152,97.003356247305,..,49.2,49.9,48.4,5.857163356,..,..,..,..,29.6,10,0.79029912,9.15775637,12132,6177,5955
Nepal,NPL,32.9,1185.68231813605,77.18,52.83312607,4.44525433,13860.5,0.480724943133609,93,93,92,0.8091,2.08,60.7986115185935,72.8801279481259,90.2863663521825,4.8,31.5,13.8,49.1,83.10319363,..,9.46926975250244,34.0950393676758,24.7163696289062,29.3,17603,57.91304016,30.59727036,28832496,13704208,15128288
Netherlands,NLD,100,52476.2732533318,8.61,5340.61279297,10.14039612,145939.237,8.41396927991521,94,92,94,3.7689,1.57,..,97.6944078516514,100,2.5,22.6,20.3,24.8,12.0392862,..,..,..,..,4,688,10.5655756,564.26647875,17344874,8615129,8729744
New Caledonia,NCL,..,34934.5794941128,5.23,..,..,..,..,..,..,..,..,2.1,..,100,99.0719681561738,6.8,..,..,..,..,..,..,..,..,..,..,..,..,271240,135381,135859
New Zealand,NZL,100,42796.4305818389,27.93,4081.59082031,9.48335075,34008.2,6.83005302056555,92,92,92,3.5149,1.72,..,100,100,2.5,14.2,12.8,15.5,6.048305496,..,..,..,..,4.9,295,12.14976311,495.90365118,4979200,2461701,2517499
Nicaragua,NIC,55.2,1905.63831305189,50.72,161.98634338,8.55957031,5131.9,0.770101819888702,98,98,99,..,2.377,..,72.9693990502626,81.6122389735586,17.5,..,..,..,20.43900913,..,..,..,..,14.9,2121,33.21761322,53.80799192,6663924,3284332,3379591
Niger,NER,2.5,550.963543141805,80.74,31.21994209,5.66862822,2159.15,0.092100576055693,81,81,79,0.0381,6.961,22.3814819360397,14.7900382805354,47.3666848215679,..,7.6,1.2,13.9,80.10926696,..,..,..,..,117,118335,46.09529114,14.39092251,23443393,11889761,11553632
Nigeria,NGA,12.8,2334.02354308408,80.81,69.68148041,2.98547053,119544.1,0.588005207479626,56,56,57,..,5.379,30.7168434063761,43.27675278374,74.7241263304551,12,3.9,0.5,7.2,70.39625682,4.65197992324829,29.5156097412109,55.0242500305176,34.9043312072754,116.8,873031,71.49702454,49.82018778,203304492,102680839,100623652
North Macedonia,MKD,77.2,6070.38805358275,17.05,421.38973999,7.06654119,7956.1,3.83113737507789,92,92,75,..,1.34,..,97.8791714606684,97.7256237924336,3.1,..,..,..,30.26931856,..,..,..,..,6.8,144,39.08806229,164.71308774,2076694,1035939,1040755
Northern Mariana Islands,MNP,..,23687.2718520599,0,..,..,..,..,..,..,..,..,..,..,79.6865064689771,100,..,..,..,..,8.151978907,..,..,..,..,..,..,..,..,49858,26731,23127
Norway,NOR,100,76430.5889473338,60.6,8007.35546875,10.5360651,37661.6,7.04232094266605,97,96,97,4.94,1.53,..,98.0521507255644,99.9999987035841,2.5,17.1,16.2,17.9,6.642383374,34.3511581420898,78.7847900390625,99.6461868286133,99.0942230224609,2.4,130,13.91862011,1114.5133933,5347896,2695841,2652054
Oman,OMN,100,19132.1522739094,0.01,728.25482178,4.39142513,75744.8,16.4563584347506,99,99,99,1.9301,2.776,97.4,99.3200376001363,91.8882639823975,8.8,7.9,0.4,15.4,44.57247023,..,..,..,..,10.6,959,5.9613471,43.41379755,4602768,2924701,1678067
Pakistan,PAK,47.6,1437.1658337701,45.88,37.22461343,2.84736937,184096.3,0.824459652346009,84,84,81,1.1179,3.62,75.9873110440202,65.3899355736604,90.1906503511874,14.1,20.8,7.7,33.9,62.57424987,..,10.1383695602417,42.4178695678711,22.0678291320801,67.5,422509,56.28123103,20.95047069,223293280,113015042,110278237
Palau,PLW,44.65,15567.0908684974,0.86,2402.77954102,15.71146011,217.4,12.1344050011163,97,98,97,..,..,..,98.2917744262002,99.5515887428089,..,17.9,8.1,27.6,6.873805482,..,..,..,..,17.4,5,11.82730484,284.18406664,17916,9379,8537
Panama,PAN,100,16472.8317548406,18.91,1318.03759766,8.32831192,13099.9,3.09505043316861,88,88,97,1.6324,2.375,..,83.3785517603304,94.182498815948,5.4,5.3,2.3,8.2,13.20059479,22.3413105010986,51.7599983215332,87.4499969482422,65.6900024414062,14.8,1153,36.57320404,482.04860725,4232532,2118501,2114030
Papua New Guinea,PNG,9.3,2593.77579783693,53.12,60.31322479,2.32528329,7467.5,0.782552890305524,35,35,37,0.0661,3.322,29.7301407523652,19.1492872746707,47.0767255901086,21.9,39.9,25.6,54.2,16.2311858,..,..,..,..,45.5,11306,9.52710056,5.74610165,9542486,4936763,4605722
Paraguay,PRY,68.5,5807.83881414187,60.09,415.88879395,7.16429377,8101.6,1.24066887329392,86,86,87,..,2.525,80.1131748902506,91.7156741252874,99.5911140188522,8.2,12.1,4.7,19.5,12.51891553,16.8359909057617,41.7799987792969,75.2099990844727,51.0400009155273,19.4,2691,41.96775436,174.53918577,6530026,3280434,3249592
Peru,PER,82.4,6955.88176963678,27.14,366.56491089,5.21140051,56972.2,1.73564177469023,88,88,85,..,2.242,..,76.7094387871209,93.0032366873463,8.1,8.7,3.2,14.1,30.82669477,..,50.2799987792969,67.0899963378906,55.4500007629395,14.9,8693,28.13241577,103.12357045,32824861,16268182,16556679
Philippines,PHL,46.3,3413.8490672059,26.8,142.23664856,4.16646004,145871.3,1.32152779028498,71,71,75,..,2.805,81.6949782681515,81.2510265893959,93.6373567501473,5.5,23.4,6.7,40,18.82613108,27.0102195739746,33.2240982055664,84.530891418457,73.3515701293945,27.3,66326,48.78687668,69.39282548,110380804,56011134,54369671
Poland,POL,100,15700.0135796738,15.62,1014.03820801,6.44682503,294948.3,7.76885578278686,95,91,93,..,1.44,..,98.9575335757009,91.8196871808371,2.5,24.7,20.7,28.6,22.6420051,..,..,..,..,4.4,1728,20.44481277,207.31822029,37965475,18370296,19595179
Portugal,PRT,100,23330.8172889316,28.19,2221.73095703,9.51379871,44564.7,4.33244804259817,99,98,99,5.4837,1.43,..,99.6451165848976,99.2195941125794,2.5,25.3,20,30.6,8.254802244,23.2236309051514,42.2028999328613,90.2518692016602,57.4131813049316,3.4,295,30.6072464,680.01071667,10286263,4855992,5430271
Puerto Rico,PRI,..,32916.866800639,2.42,..,..,..,..,..,..,..,..,0.982,..,100,100,..,..,..,..,6.85168132,..,..,..,..,..,..,..,..,3193694,1513740,1679953
Qatar,QAT,100,62827.3969543275,0.06,2207.65429688,3.51384258,89486.8,31.8772030129291,98,98,99,..,1.834,..,99.9365458669077,99.9705334233432,..,12,2,21.9,76.04929303,..,..,..,..,6.1,176,10.19592667,225.09081599,2807235,2055936,751299
Romania,ROU,100,12957.9991142218,23.54,738.5581665,5.74023104,73942.8,3.81706295716296,88,90,90,..,1.77,..,86.5415830093919,99.9999996798846,2.5,28.4,20.2,36.5,15.67108952,..,64.5664215087891,98.4786834716797,88.8173980712891,7,1458,18.87716675,139.41885578,19371648,9377040,9994608
Russian Federation,RUS,78.5,11536.2587890625,3.22,653.99993896,5.64849091,1703588.7,11.7971941673637,97,97,98,4.1834,1.504,..,88.7074197923604,96.7955268787445,2.5,27.1,12.7,41.5,11.59553193,..,..,..,..,5.8,9327,36.57374573,239.19226901,144406261,67076532,77329730
Rwanda,RWA,3.2,806.128014394646,81.8,51.0831871,6.33025074,1451.1,0.113057797770289,98,98,96,0.1182,3.939,16.3799786583271,71.2065248746041,62.4117359707321,35.2,14.1,7.4,20.8,36.18491574,..,..,..,..,42.1,16305,12.13210678,6.19746619,12835028,6266092,6568936
Samoa,WSM,35.3,4308.30145287685,34.21,239.13195801,6.01635885,278.7,1.31521200537977,68,68,96,..,4.047,72.0274072767067,96.8442592798373,96.4228349677627,4.4,25.9,14.9,36.8,11.01483371,10.948260307312,42.7817802429199,95.1079177856445,92.4423065185547,17.5,104,10.72247601,25.64086578,211905,108147,103759
San Marino,SMR,100,47287.3983949924,..,3951.05102539,8.3529911,..,..,88,87,86,..,..,..,100,100,..,..,..,..,9.906728131,..,..,..,..,1.9,0,10.94548512,432.46170066,34178,16650,17527
Sao Tome and Principe,STP,3.09999999999999,1991.73826385183,38.62,104.94572449,5.22996283,140.2,0.6533115252168,95,95,95,0.4884,3.964,53.0103104075633,45.1201003296246,77.335780426244,13,5.8,1.4,10.1,31.05885758,3.50964999198914,..,..,..,17.1,108,18.28590775,19.19027791,214599,107123,107476
Saudi Arabia,SAU,100,23405.7061087736,0.03,..,..,526770.3,14.7030166496769,96,96,95,2.7528,2.504,..,95.3235759880439,98.6603423033735,3.9,14.2,2.1,26.3,61.50824107,..,..,..,..,7.3,4784,..,..,35827362,20836089,14991273
Senegal,SEN,28.6,1462.6783520711,36.89,65.75260925,4.49531031,12297.8,0.768574983933597,95,96,89,0.0881,4.517,21.8972934655641,57.0490341820529,82.6975294805221,7.4,7.1,0.7,13.5,60.21139678,2.11595010757446,4.68874979019165,16.6994209289551,8.94958972930908,41.8,21968,48.74660873,32.05216489,16000781,7860618,8140163
Serbia,SRB,78.2,7417.20658487785,21.53,641.03216553,8.66556168,46030.1,6.62757991630233,97,94,87,..,1.52,..,97.8970216521443,94.9123598279511,3.7,40.1,39,41.1,25.35417205,16.2885894775391,68.6044311523438,97.4143524169922,88.5748519897461,5.7,395,37.0638237,237.59102593,6945235,3330387,3614847
Seychelles,SYC,100,16851.1197648771,1.21,786.65087891,4.87495708,595.3,6.09782330345711,99,99,99,2.2518,2.36,..,100,96.2933996249077,..,20.6,6.6,34.6,15.5639189,..,..,..,..,14.4,25,25.21986198,198.39227877,97625,51368,46256
Sierra Leone,SLE,0.700000000000001,506.606908156498,75.44,44.81790924,8.84668446,1038.8,0.129094346244259,95,95,93,..,4.192,16.4402995214506,20.0997387688789,61.9298092529535,27.9,14.3,6.8,21.7,51.09606544,0.745980024337769,6.59352016448975,23.8464298248291,14.3607997894287,112.5,28847,55.1825676,24.73167414,8046828,4030454,4016374
Singapore,SGP,100,66070.4706679227,0.89,2826.01000977,4.41523695,45163.2,7.91841038479591,96,96,95,2.4601,1.14,..,100,100,..,16.6,5,28.1,18.76588248,30.793399810791,72.0738372802734,85.8339920043945,79.418701171875,2.4,98,28.43709755,803.63525094,5703569,2981453,2722116
Sint Maarten (Dutch part),SXM,..,35084.0351930602,0.05,..,..,..,..,..,..,..,..,1.601,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41608,22120,19488
Slovak Republic,SVK,100,19381.592110485,17.64,1342.0748291,6.94772625,31032.5,5.68970729978492,97,97,96,3.565,1.57,..,97.5318448286994,99.7878178521954,3.7,31.5,25.4,37.6,18.36521464,24.5931396484375,84.3459167480469,99.7804565429688,98.8641204833984,5.8,333,19.15934563,257.13274936,5454147,2663171,2790976
Slovenia,SVN,100,26016.0786839136,20.86,2219.10058594,8.52314281,13665,6.54333372438511,95,..,94,3.277,1.61,..,98.4178934010152,99.5,2.5,22.3,19.8,24.7,16.96940443,24.2392902374268,79.4240036010742,99.7558364868164,97.6130905151367,2.3,46,11.66131687,258.77635324,2088385,1045795,1042591
Solomon Islands,SLB,8.9,2398.77296268603,48.36,103.80370331,4.46258593,304.8,0.451560238402472,94,94,81,..,4.104,38.6363929677589,34.4924126004925,67.1538021706971,17.8,36.8,19.6,53.9,12.89495904,..,..,..,..,20,412,3.67973828,3.81970424,674993,345031,329962
Somalia,SOM,3.1,405.786763279583,95.03,..,..,655.7,0.041029202880867,42,42,46,..,6.531,24.8699417135705,38.2309061647547,54.9344082547372,54.8,..,..,..,30.36142727,..,..,..,..,118.6,80448,..,..,15981300,8011375,7969926
South Africa,ZAF,87.1,6688.77474649645,8.84,550.48022461,8.24258327,446626,7.68890762322173,85,85,83,0.7923,2.475,44.2448240398932,75.3796452913204,93.3882436903298,6.3,20.4,6.7,34,28.67475434,2.57877993583679,54.322811126709,74.7251205444336,68.8977127075195,34.3,41542,5.71879625,31.48084423,58087055,28207948,29879107
South Sudan,SSD,0,..,31.56,23.71821594,4.65760946,1824.6,0.174641876951273,49,49,49,..,4.619,5.6,15.747277681583,40.841655390804,..,..,..,..,37.55277786,..,..,..,..,98.7,33058,22.64990425,5.37215311,10447666,5167140,5280526
Spain,ESP,100,29581.5185513293,16.68,2712.5090332,9.13947964,241886.5,5.13179880095904,95,95,98,4.4411,1.23,..,99.9193565738972,99.9258382744694,2.5,28.1,26.9,29.3,9.728788477,..,..,..,..,3.2,1165,21.76320267,590.32885063,47134837,23104636,24030201
Sri Lanka,LKA,30.2,4082.69404756548,46.13,142.05116272,3.66153812,23427.9,1.07452644131542,99,99,99,1.1539,2.019,85.3023545397291,92.487940769035,88.3914085074832,3.7,22.3,2.7,41.9,19.96439581,..,63.0099105834961,..,80.1704177856445,7.3,2326,51.07418823,72.55148197,21803000,10514808,11288193
St. Kitts and Nevis,KNA,100,23219.4090468738,1.29,1204.34094238,4.93305063,247.5,5.18737424547284,97,97,97,..,1.568,..,..,..,..,..,..,..,8.789142812,..,..,..,..,15.4,10,46.36796951,558.42837875,47712,23149,24562
St. Lucia,LCA,94.8,11726.6771483578,10.02,514.16442871,4.33346367,534.6,2.9935660169221,92,92,96,..,1.424,..,83.3723216143083,96.8875059264097,..,..,..,..,21.22131742,..,43.8231315612793,..,49.8538093566895,24.1,51,46.23881149,237.74350187,178583,88582,90001
St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,2.485,..,100,99.939423273643,..,..,..,..,..,..,..,..,..,..,..,..,..,33121,15749,17372
St. Vincent and the Grenadines,VCT,93.7,8680.24198247066,5.39,375.02581787,4.32406807,235.1,2.24066943692577,97,97,99,..,1.838,..,..,..,6.6,..,..,..,21.12973864,..,..,..,..,14.6,21,29.03186607,108.87699094,104924,53636,51288
Sudan,SDN,58,748.010925292969,59.64,35.98295401,4.63369366,22131.5,0.511922936509227,93,93,90,..,4.617,14.2600000000002,36.7782607644713,61.6056535311679,11.7,..,..,..,54.67729786,..,..,..,..,58.4,85393,66.50894389,23.93188269,43232093,21607642,21624451
Suriname,SUR,93.9,6690.04478601228,14.84,592.97576904,8.43241405,2656.82,4.42581305045302,77,77,64,..,2.394,72.0993563975831,89.2491425915073,97.5417735351336,8,..,..,..,21.17742119,..,..,..,..,18.3,201,15.37580109,91.17477362,600301,299437,300864
Sweden,SWE,100,51939.4297445291,52.87,5652.98974609,10.83224297,34964.6,3.40159396635064,98,97,97,..,1.71,..,98.8972906623906,99.7174099911848,2.5,24.8,19,30.5,5.647572855,29.0378894805908,77.1716918945312,100,91.8084030151367,2.6,301,13.71330547,775.21174359,10278887,5168880,5110007
Switzerland,CHE,100,84121.9310304414,24.76,9666.98046875,11.28695965,37376.3,4.35860986463416,96,69,95,4.3416,1.48,..,99.899872396117,99.9999987245773,2.5,25.7,23,28.3,9.902709701,..,83.7257232666016,99.5351028442383,96.8586730957031,4,344,25.29318237,2445.08704558,8575280,4253063,4322218
Syrian Arab Republic,SYR,96.9,1124.520554158,0.99,..,..,26840.4,1.33545948848982,54,54,65,..,2.835,84.284994103842,93.9559318319375,93.8729434874618,..,..,..,..,30.95362503,..,..,..,..,22.6,8205,..,..,20098251,10073931,10024320
Tajikistan,TJK,83.3,889.023371807526,40.07,61.76633072,6.9476676,8965.7,0.960233171179232,97,97,98,..,3.281,72.8273539598439,96.7725602586229,81.8151109661329,..,..,..,..,38.31858602,..,..,..,..,33.5,8770,71.2230072,43.99183653,9337003,4696898,4640105
Tanzania,TZA,5.59999999999999,1050.93237304688,83.54,39.56215286,3.87440205,14960.8,0.249877326981355,89,89,88,..,4.864,28.5221375889129,29.099388976813,56.5658481263889,23.4,9.2,3.5,14.9,24.74048013,..,..,..,..,50.4,108822,21.91386986,8.66959902,59872579,29563439,30309141
Thailand,THA,83.1,7628.57608699366,23.95,294.46008301,3.8583262,274466.7,3.84904375698898,97,97,96,0.9188,1.352,84.9416809628263,98.4205237102314,99.9648313601704,8,22.5,3,41.9,27.40271356,17.4759006500244,35.1133308410645,68.2362976074219,47.6268615722656,9,6162,8.51409531,25.07060941,71307763,34723388,36584375
Timor-Leste,TLS,12.85,1584.26382222333,11.67,79.26290131,5.95605564,617.6,0.482334951008952,90,90,85,0.7687,3.336,28.3303374796295,55.1898926962233,82.3841159192672,25,39.8,11.2,68.4,15.65130893,..,..,..,..,53.9,1757,10.48759174,8.31276888,1280438,653013,627425
Togo,TGO,9.8,848.304826917637,76.2,49.42482758,5.64253759,2442.3,0.296284380597868,84,84,75,0.0776,4.385,17.0523138830644,18.3495107376786,67.8121290467606,20.1,7.1,1.3,12.8,46.21037553,..,..,..,..,66.6,17619,67.19138336,33.20922436,8243094,4142015,4101080
Tonga,TON,82.9,4878.97818832247,1.77,229.94410706,4.74669981,161.5,1.53881335099237,99,99,99,..,3.315,69.5411143452097,94.5244604319356,98.7003534529294,..,31.1,15.2,47,10.58622123,9.81029987335205,..,96.163818359375,..,11.7,29,5.39891624,12.41449051,104951,51994,52956
Trinidad and Tobago,TTO,100,15690.9630952205,0.43,1071.89624023,6.82082558,17195.3,11.3130322937192,93,93,99,4.476,1.643,..,93.9152110121169,98.8751707692306,7.3,..,..,..,21.97072547,..,..,..,..,17.4,327,46.91285706,502.85712347,1519955,751897,768058
Tunisia,TUN,99.8,3477.84427052074,12.19,189.74969482,5.47337294,31045,2.57649522620126,98,98,98,..,2.148,84.4058998947847,96.3765731985838,96.1940901831773,2.6,25,2.1,47.8,30.42981942,..,..,..,..,16.9,3549,42.90058517,81.40372164,12049314,5962724,6086590
Turkiye,TUR,95.4,9103.01239697463,14.12,397.40911865,4.35956669,398772.9,4.77677115377788,99,99,97,1.9275,1.967,..,98.692989994129,96.8689641597761,2.5,30.9,18.9,42.9,26.03180162,..,35.9632682800293,85.7307662963867,56.3018608093262,10.1,13529,17.04763412,67.74885442,83481684,41866950,41614734
Turkmenistan,TKM,99.9,7180.4595520094,0.06,488.62384033,5.68183947,63231.8,10.2675361537537,99,99,99,..,2.74,..,99.00213592626,99.79292325362,3.5,5.8,0.5,11.1,26.19766251,9.8336296081543,27.7807903289795,99.6618881225586,98.0125885009766,42.8,6133,77.00280762,376.25409254,6158420,3050231,3108189
Turks and Caicos Islands,TCA,..,27795.1485608171,0.5,..,..,..,..,..,..,..,..,1.692,94.9314228859131,93.1348674325142,98.7522982439726,..,..,..,..,..,13.6274499893188,74.8123931884766,95.1589202880859,87.0352401733398,4.8,3,..,..,43080,21739,21341
Tuvalu,TUV,72.5,4940.0506820692,6.51,1033.86682129,20.88978577,8.9,0.812340270171595,92,92,96,..,3.199,94.0399263369622,83.499603826937,99.1992660756145,..,36,21.7,50.3,6.02840838,..,31.4083805084229,92.2201919555664,58.069278717041,22.7,6,0.32330775,3.34257139,10956,5654,5301
