Time,Time Code,Country Name,Country Code,CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],GDP per capita (current US$) [NY.GDP.PCAP.CD],"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, neonatal (per 1,000 live births) [SH.DYN.NMRT]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Community health workers (per 1,000 people) [SH.MED.CMHW.P3]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]",GDP (current US$) [NY.GDP.MKTP.CD],"Population, total [SP.POP.TOTL]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]"
1960,YR1960,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,79000,..
1960,YR1960,New Zealand,NZL,..,2312.94999239859,..,22.5,..,27.9,..,..,..,..,5485854791.97096,2371800,..
1960,YR1960,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,8702,..
1960,YR1960,Norway,NOR,..,1441.75566002633,..,18.4,12,22.6,..,..,..,1.2,5163271598.15702,3581239,..
1960,YR1960,Oman,OMN,..,..,..,..,..,370.2,..,..,..,0.03,..,536553,..
1960,YR1960,Panama,PAN,..,476.621422214414,..,66.9,39.6,92,..,..,..,0.356,537147100,1126989,..
1960,YR1960,Poland,POL,..,..,..,58,..,65.3,..,..,..,1,..,29637450,..
1960,YR1960,Portugal,PRT,..,360.499298506858,..,84.6,27,114.4,..,..,..,0.8,3193200404.37297,8857716,..
1960,YR1960,Puerto Rico,PRI,..,717.514843087362,..,..,..,..,..,..,..,..,1691900000,2358000,..
1960,YR1960,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,36385,..
1960,YR1960,Romania,ROU,..,..,..,73.1,..,86.9,..,..,..,1.269,..,18406905,..
1960,YR1960,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,15556,..
1960,YR1960,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,0.061,..,4165563,..
1960,YR1960,Seychelles,SYC,..,288.058159419365,..,74.9,..,104.6,..,..,..,0.312,12012025.2477875,41700,..
1960,YR1960,Singapore,SGP,..,428.056183083067,..,35.5,..,47.7,..,..,..,0.42,704751699.827961,1646400,..
1960,YR1960,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,2646,..
1960,YR1960,Slovak Republic,SVK,..,..,..,..,..,..,..,..,..,..,..,4068095,..
1960,YR1960,Slovenia,SVN,..,..,..,..,..,..,..,..,..,..,..,1584720,..
1960,YR1960,Spain,ESP,..,396.392253337614,..,46.8,20.1,54.7,..,..,..,..,12072126075.397,30455000,..
1960,YR1960,St. Kitts and Nevis,KNA,..,218.260426137037,..,..,..,..,..,..,..,0.235,12366635.7449245,56660,..
1960,YR1960,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,4135,..
