Time,Time Code,Country Name,Country Code,CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],GDP per capita (current US$) [NY.GDP.PCAP.CD],"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, neonatal (per 1,000 live births) [SH.DYN.NMRT]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Community health workers (per 1,000 people) [SH.MED.CMHW.P3]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]",GDP (current US$) [NY.GDP.MKTP.CD],"Population, total [SP.POP.TOTL]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]"
1960,YR1960,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,..,..,1602052,..
1960,YR1960,Tuvalu,TUV,..,..,..,115.7,..,169.8,..,..,..,..,..,5404,..
1960,YR1960,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..,..
1961,YR1961,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,1659800,..
1961,YR1961,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,20680653,..
1961,YR1961,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,1971530,..
1961,YR1961,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,4045750,..
1961,YR1961,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,8271216,..
1961,YR1961,Belize,BLZ,..,319.602802521524,..,..,..,..,..,..,..,..,29964999.9560105,93757,..
1961,YR1961,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,3325333,..
1961,YR1961,Botswana,BWA,..,62.7429531034072,..,110.3,..,161,..,..,..,..,32902592.8362861,524403,..
1961,YR1961,Brazil,BRA,..,229.336766423598,..,124.6,..,165.2,..,..,..,..,17275940449.3837,75330008,..
1961,YR1961,Bulgaria,BGR,..,..,..,40.1,..,49,..,..,..,..,..,7943118,..
1961,YR1961,China,CHN,..,75.8055639067957,..,..,..,..,..,..,..,..,50056688014.5744,660330000,..
1961,YR1961,Colombia,COL,..,280.579137443382,..,91.3,39,130.5,..,..,..,..,4540447761.87171,16182414,..
1961,YR1961,Costa Rica,CRI,..,351.201085862769,..,63.1,30.2,93.3,..,..,..,..,490325181.614275,1396138,..
1961,YR1961,Cuba,CUB,..,..,..,41.3,..,52.1,..,..,..,..,..,7418518,..
